standardise name,family
tinomiscium petiolare,Menispermaceae
tinospora macrocarpa,Menispermaceae
tournefortia tetrandra,Boraginaceae
toxocarpus griffithii,Apocynaceae
trema angustifolia,Cannabaceae
trema cannabina,Cannabaceae
trema tomentosa,Cannabaceae
trevesia burckii,Araliaceae
triadica cochinchinensis,Euphorbiaceae
trichomanes bimarginatum,Hymenophyllaceae
trichomanes mindorense,Hymenophyllaceae
trichomanes motleyi,Hymenophyllaceae
trichomanes sublimbatum,Hymenophyllaceae
trichosanthes celebica,Cucurbitaceae
trichosanthes wallichiana,Cucurbitaceae
trichosanthes wawraei,Cucurbitaceae
trichotosia gracilis,Orchidaceae
trichotosia velutina,Orchidaceae
trichotosia vestita,Orchidaceae
trigonachras acuta,Sapindaceae
trigonachras cultrata,Sapindaceae
trigoniastrum hypoleucum,Trigoniaceae
trigonostemon heteranthus,Euphorbiaceae
trigonostemon villosus,Euphorbiaceae
triomma malaccensis,Burseraceae
tristaniopsis merguensis,Myrtaceae
tristaniopsis obovata,Myrtaceae
tristaniopsis whiteana,Myrtaceae
tristellateia australasiae,Malpighiaceae
trivalvaria macrophylla,Annonaceae
tropidia curculigoides,Orchidaceae
turpinia sphaerocarpa,Staphyleaceae
tylophora flexuosa,Apocynaceae
tylophora indica,Apocynaceae
tylophora laevis,Apocynaceae
uncaria acida,Rubiaceae
uncaria attenuata,Rubiaceae
uncaria callophylla,Rubiaceae
uncaria cordata var. ferruginea,Rubiaceae
uncaria elliptica,Rubiaceae
uncaria lanosa var. glabrata,Rubiaceae
uncaria longiflora var. pteropoda,Rubiaceae
uncaria roxburghiana,Rubiaceae
urceola brachysepala,Apocynaceae
urceola elastica,Apocynaceae
urceola lucida,Apocynaceae
urceola torulosa,Apocynaceae
urophyllum arboreum,Rubiaceae
urophyllum blumeanum,Rubiaceae
urophyllum corymbosum,Rubiaceae
urophyllum griffithianum,Rubiaceae
urophyllum hirsutum,Rubiaceae
urophyllum macrophyllum,Rubiaceae
urophyllum streptopodium,Rubiaceae
utania austromalayensis,Gentianaceae
utania nervosa,Gentianaceae
utania racemosa,Gentianaceae
utania volubilis,Gentianaceae
utricularia uliginosa,Lentibulariaceae
uvaria clementis,Annonaceae
uvaria cordata,Annonaceae
uvaria curtisii,Annonaceae
uvaria grandiflora,Annonaceae
uvaria hirsuta,Annonaceae
uvaria javana,Annonaceae
uvaria leptopoda,Annonaceae
uvaria lobbiana,Annonaceae
uvaria pauci-ovulata,Annonaceae
vaccinium bracteatum,Ericaceae
vaccinium littoreum,Ericaceae
vaginularia trichoidea,Vittariaceae
vanilla griffithii,Orchidaceae
vatica maingayi,Dipterocarpaceae
vatica odorata,Dipterocarpaceae
vatica pauciflora,Dipterocarpaceae
vatica ridleyana,Dipterocarpaceae
ventilago maingayi,Rhamnaceae
ventilago malaccensis,Rhamnaceae
vernonia arborea,Asteraceae
viburnum sambucinum,Adoxaceae
vigna marina,Fabaceae
viscum articulatum,Santalaceae
viscum ovalifolium,Santalaceae
vitex longisepala,Lamiaceae
vitex negundo,Lamiaceae
vitex pinnata,Lamiaceae
vitex quinata,Lamiaceae
vitex vestita,Lamiaceae
vittaria elongata,Vittariaceae
vittaria ensiformis,Vittariaceae
vrydagzynea albida,Orchidaceae
vrydagzynea lancifolia,Orchidaceae
vrydagzynea tristriata,Orchidaceae
willughbeia angustifolia,Apocynaceae
willughbeia coriacea,Apocynaceae
willughbeia edulis,Apocynaceae
willughbeia flavescens,Apocynaceae
willughbeia tenuiflora,Apocynaceae
wollastonia biflora,Asteraceae
wrightia laevis,Apocynaceae
xanthophyllum amoenum,Polygalaceae
xanthophyllum discolor,Polygalaceae
xanthophyllum ellipticum,Polygalaceae
xanthophyllum eurhynchum,Polygalaceae
xanthophyllum flavescens,Polygalaceae
xanthophyllum griffithii,Polygalaceae
xanthophyllum kunstleri,Polygalaceae
xanthophyllum obscurum,Polygalaceae
xanthophyllum stipitatum,Polygalaceae
xanthophyllum vitellinum,Polygalaceae
xanthophyllum wrayi,Polygalaceae
xenostegia tridentata,Convolvulaceae
xerospermum laevigatum,Sapindaceae
xerospermum noronhianum,Sapindaceae
ximenia americana,Olacaceae
xylocarpus granatum,Meliaceae
xylocarpus moluccensis,Meliaceae
xylocarpus rumphii,Meliaceae
xylopia caudata,Annonaceae
xylopia ferruginea,Annonaceae
xylopia fusca,Annonaceae
xylopia magna,Annonaceae
xylopia malayana,Annonaceae
xyris pauciflora,Xyridaceae
zanthoxylum nitidum,Rutaceae
zeuxine clandestina,Orchidaceae
zeuxine gracilis,Orchidaceae
zeuxine parvifolia,Orchidaceae
zingiber griffithii,Zingiberaceae
zingiber puberulum var. chryseum,Zingiberaceae
ziziphus calophylla,Rhamnaceae
ziziphus elegans,Rhamnaceae
ziziphus horsfieldii,Rhamnaceae
zoysia matrella,Poaceae
